,Adj Close 2023-03-02,Adj Close 2023-03-03,Adj Close 2023-03-06,Adj Close 2023-03-07,Adj Close 2023-03-08,Adj Close 2023-03-09,Adj Close 2023-03-10,Adj Close 2023-03-13,Adj Close 2023-03-14,Adj Close 2023-03-15,Adj Close 2023-03-16,Adj Close 2023-03-17,Adj Close 2023-03-20
HON,192.38226318359375,194.72706604003906,194.94471740722656,193.53981018066406,193.4903564453125,190.82896423339844,191.274169921875,191.04661560058594,190.91799926757812,186.11956787109375,187.12872314453125,182.67657470703125,187.86085510253906
HPE,15.148286819458008,14.93327808380127,14.806227684020996,14.669405937194824,14.757363319396973,14.376213073730469,14.004836082458496,13.692095756530762,13.819147109985352,13.594365119934082,14.106988906860352,13.899968147277832,14.23514461517334
HPQ,28.046390533447266,27.85169219970703,27.812753677368164,27.17704963684082,27.776399612426758,27.403034210205078,26.970718383789062,26.86263656616211,27.324430465698242,27.47180938720703,27.81570053100586,27.5504150390625,27.697797775268555
HRL,41.256160736083984,40.0726203918457,39.97399139404297,39.43153381347656,39.67810821533203,39.175106048583984,38.642513275146484,38.79045486450195,38.770729064941406,38.89894104003906,38.62278747558594,37.82389831542969,38.228271484375
HSIC,77.88999938964844,78.9000015258789,78.55999755859375,77.6500015258789,77.80999755859375,77.25,77.04000091552734,77.55999755859375,77.7699966430664,77.48999786376953,78.1500015258789,77.2699966430664,78.81999969482422
HST,16.510417938232422,16.597929000854492,16.481250762939453,16.452077865600586,16.500694274902344,15.654756546020508,15.460285186767578,15.333881378173828,15.518627166748047,15.32415771484375,15.431116104125977,14.915772438049316,15.25609302520752
HSY,236.18702697753906,236.18702697753906,237.65328979492188,236.1374969482422,236.7616424560547,236.4049835205078,235.53317260742188,238.33688354492188,239.75360107421875,242.15113830566406,242.72576904296875,240.89292907714844,242.27003479003906
HUM,492.9866638183594,497.4117736816406,496.2781677246094,493.2651062011719,486.5727233886719,483.609375,476.9767150878906,479.78094482421875,479.2738037109375,481.1631774902344,491.6143493652344,492.77783203125,491.6243591308594
HWM,43.27515411376953,43.67446517944336,43.684444427490234,43.27515411376953,43.65449523925781,41.98738479614258,40.76948928833008,39.96088790893555,40.709590911865234,39.31201171875,40.38016128540039,39.142303466796875,39.41183853149414
IBM,125.74851989746094,126.44100189208984,126.97743225097656,125.0853042602539,124.8902359008789,123.04688262939453,122.35440063476562,122.48119354248047,121.57413482666016,120.2379379272461,121.6229019165039,120.63783264160156,122.83231353759766
ICE,101.50712585449219,101.27982330322266,102.03092193603516,101.75420379638672,101.4083023071289,98.92769622802734,94.27285766601562,96.52615356445312,97.69233703613281,96.3779067993164,98.49207305908203,96.27865600585938,97.31092834472656
IDXX,476.1300048828125,488.0,486.1600036621094,473.989990234375,482.2200012207031,472.2799987792969,454.8599853515625,460.9200134277344,471.4200134277344,464.9700012207031,474.1099853515625,471.3599853515625,483.260009765625
IEX,223.07577514648438,226.86279296875,225.89865112304688,222.70802307128906,222.0917510986328,221.7836456298828,218.60292053222656,217.69842529296875,222.60862731933594,214.49786376953125,217.79782104492188,214.438232421875,218.761962890625
IFF,90.1031265258789,90.83928680419922,88.92138671875,86.27699279785156,85.23085021972656,83.37106323242188,81.98589324951172,80.96882629394531,81.56938171386719,80.12610626220703,81.0850601196289,80.16485595703125,81.2497329711914
ILMN,206.52000427246094,221.2100067138672,215.6300048828125,208.4600067138672,208.02999877929688,202.58999633789062,194.00999450683594,226.94000244140625,225.8800048828125,228.14999389648438,224.9499969482422,224.5500030517578,219.77000427246094
INCY,77.30999755859375,77.55999755859375,75.8499984741211,74.37999725341797,73.79000091552734,72.86000061035156,72.01000213623047,73.18000030517578,74.0,72.47000122070312,73.97000122070312,73.62000274658203,74.22000122070312
INTC,25.999610900878906,26.19808006286621,25.791215896606445,25.334735870361328,25.781291961669922,26.237775802612305,27.011808395385742,26.74387550354004,27.795766830444336,28.192707061767578,29.94917106628418,29.581998825073242,28.93697166442871
INTU,398.2745056152344,406.3818664550781,410.5499267578125,407.1478271484375,414.4892272949219,402.4624938964844,390.5551452636719,389.5106201171875,406.16302490234375,404.1933898925781,415.9614562988281,411.5247802734375,409.68450927734375
INVH,30.121734619140625,31.353002548217773,31.392404556274414,30.62409210205078,31.15599822998047,30.801395416259766,29.806529998779297,30.66349220275879,30.79154396057129,30.98854637145996,30.633941650390625,30.033082962036133,30.15128517150879
IP,36.484580993652344,36.72768020629883,35.60941696166992,35.28852462768555,35.803897857666016,35.20100784301758,34.53977584838867,33.88826370239258,34.461978912353516,33.528472900390625,33.71323013305664,33.12006759643555,33.86882019042969
IPG,35.03119659423828,35.080326080322266,35.021366119384766,34.353172302246094,34.343345642089844,33.655494689941406,33.1838264465332,32.633548736572266,33.42948913574219,32.643375396728516,33.45896530151367,33.1445198059082,34.10750961303711
IQV,215.8300018310547,220.82000732421875,219.57000732421875,212.58999633789062,211.60000610351562,202.92999267578125,197.25999450683594,198.1199951171875,200.7100067138672,195.27000427246094,196.42999267578125,190.88999938964844,191.80999755859375
IR,58.25300979614258,59.43226623535156,59.83200454711914,59.33232498168945,59.422264099121094,58.10310363769531,55.70463180541992,54.6752815246582,55.66465377807617,52.89641571044922,53.48603820800781,52.42671203613281,53.87579345703125
IRM,51.06497573852539,52.8448486328125,53.08667755126953,51.89686965942383,52.08066177368164,51.093990325927734,49.652679443359375,50.94889450073242,51.15346908569336,50.96749496459961,50.9772834777832,49.22518539428711,49.99845504760742
ISRG,228.89999389648438,234.8699951171875,234.85000610351562,230.7100067138672,231.08999633789062,228.57000732421875,224.75,227.77999877929688,235.27999877929688,234.17999267578125,240.5,237.8000030517578,240.5
IT,329.3800048828125,333.80999755859375,341.4200134277344,334.6000061035156,338.32000732421875,332.32000732421875,314.3299865722656,313.2799987792969,320.32000732421875,310.82000732421875,305.95001220703125,302.489990234375,308.1499938964844
ITW,232.01376342773438,234.94403076171875,234.72772216796875,232.5447540283203,233.174072265625,230.8730926513672,226.4285125732422,226.41867065429688,230.2339324951172,224.73721313476562,226.49734497070312,225.97618103027344,229.98812866210938
IVZ,17.130651473999023,17.4722900390625,17.150175094604492,16.759733200073242,16.925670623779297,16.623077392578125,16.017892837524414,15.64697265625,15.851953506469727,15.637211799621582,15.666492462158203,15.188202857971191,15.080830574035645
J,120.6077880859375,122.838134765625,121.60347747802734,120.58788299560547,120.5580062866211,117.44149780273438,114.6137466430664,115.7587890625,118.15839385986328,114.90249633789062,116.89387512207031,112.57257843017578,113.53839874267578
JBHT,185.02796936035156,185.81446838378906,184.65960693359375,180.22927856445312,182.7779541015625,178.81558227539062,174.67396545410156,172.78237915039062,167.5755157470703,168.0235137939453,170.93060302734375,166.75914001464844,164.92727661132812
JCI,62.52576446533203,64.01797485351562,64.35176086425781,63.91980743408203,63.83145523071289,62.14289474487305,60.33652877807617,59.423526763916016,61.426239013671875,57.91168212890625,58.3632698059082,56.59528732299805,57.820037841796875
JKHY,164.180908203125,164.3887939453125,163.05238342285156,162.51611328125,163.13182067871094,161.68194580078125,156.98472595214844,140.29119873046875,140.8075714111328,144.45216369628906,147.0837860107422,145.4452362060547,150.95677185058594
JNJ,150.21771240234375,151.76473999023438,153.2821807861328,151.83370971679688,150.72027587890625,149.02545166015625,149.3900146484375,150.81878662109375,151.66619873046875,152.08990478515625,151.7745819091797,150.1487579345703,151.63662719726562
JNPR,30.274280548095703,30.22502326965332,30.86538314819336,30.73731231689453,30.83582878112793,30.599388122558594,30.343242645263672,30.234874725341797,30.786571502685547,30.244728088378906,31.111677169799805,30.86538314819336,31.515596389770508
JPM,137.99851989746094,140.53213500976562,139.7104034423828,135.60186767578125,134.79971313476562,127.50213623046875,130.7400665283203,128.39231872558594,131.68894958496094,125.46742248535156,127.90320587158203,123.07077026367188,124.37181091308594
