,Day 1,Day 2,Day 3,Day 4,Day 5,Stock
MMM Week 43,0.01344062775137611,0.001013707968966493,0.035443012221453074,0.0008150456886955038,0.030944587360976383,MMM
MMM Week 44,-0.006398085058107794,-0.0038953641800081318,-0.019473283176205114,-8.141084307977664e-05,0.016198599010880166,MMM
MMM Week 45,-0.0012816087584767155,0.005373742118265801,-0.012126020435335061,0.04296206078303966,0.029655454990764385,MMM
MMM Week 46,-0.01466383674908145,0.00145006825289129,-0.018899525258865624,-0.012350504112488836,-0.0030672385762343657,MMM
MMM Week 48,-0.034097908597436444,0.011954411674149013,-0.0012685010401878305,0.00015874131041226924,0.00793713800266338,MMM
MMM Week 49,-0.018584145602422053,-0.00040115079407110343,0.014207710844849286,-0.0027700710593422384,-0.0019047449505518177,MMM
MMM Week 50,0.008667273531928421,0.00346868306424164,-0.009427327904829474,-0.029423421304024422,-0.005638133906662124,MMM
MMM Week 51,0.003615702220267192,-0.010808152988698083,0.021935283332769284,-0.015146628547296204,-0.011925298066567391,MMM
AOS Week 2,-0.0031269047679999273,0.009771957589070901,0.0033453574540098785,-0.012383911335500986,-0.028574905676622575,AOS
AOS Week 4,0.025514177196810373,-0.042904256229897575,-0.009018571504171513,0.0151230893329386,-0.0046143504437974325,AOS
AOS Week 5,0.012185406211196126,-0.011122723036998239,-0.0048961591646978775,-0.014760647013264405,-0.006883446241650271,AOS
AOS Week 6,0.0038053652124088178,0.0044679370204125934,0.006200283991578903,-0.0324179252441994,-0.012737169535954718,AOS
AOS Week 7,-0.0011217810180743637,0.01726794425904421,-0.0019320920703467248,-0.017560794364291143,0.002111103308118256,AOS
AOS Week 9,-0.011673116669814854,-0.02843401174646376,0.04157293091166747,-0.010374657130729936,-0.0042224943832082085,AOS
AOS Week 10,-0.01564555789404165,-0.016488422688405113,0.02220210302114123,-0.01580968809100891,-0.013361347868087625,AOS
AOS Week 11,0.002434510495176845,0.003946602110961317,0.017689721495951938,0.010251113748824592,0.0007353389964384061,AOS
AOS Week 12,-0.0019104316970216528,-0.0017667126092821839,-0.03584071085248686,0.013155890687132077,0.01117315153649412,AOS
AOS Week 13,-0.004628901790999507,0.012301224869123661,-0.01822767183972307,-0.03562265072228776,0.031147251256539388,AOS
AOS Week 14,0.01791135935596233,-0.02490304547783717,-0.012081372119608913,-0.01965939122390492,-0.0072635857550907845,AOS
AOS Week 16,-0.00705440909987376,0.03204929884912855,0.014226713570459681,0.0,-0.023529488931854914,AOS
AOS Week 17,-0.0016991135925433776,-0.034968256499712025,0.00833734915294082,-0.04802036074213667,-0.024052090402528647,AOS
AOS Week 18,0.015231890895088807,-0.0037087191813036657,0.042978019984883264,-0.04396494340212087,0.00797558490190342,AOS
AOS Week 19,0.006565646121718061,-0.013881950465719717,-0.026967438556263823,0.02945794793220724,0.016085284899295837,AOS
AOS Week 20,-0.017163786170733553,0.0232281950240385,-0.04275058958723521,0.011770820491388667,-0.011633880176216138,AOS
AOS Week 21,0.010385987006521935,-0.00034264961674934646,0.0032562544365877244,0.018619749496771476,0.026664432736998256,AOS
AOS Week 23,0.01692963143842241,-0.00113139964494402,-0.011488658466631163,-0.004583381545220311,-0.04522282417194379,AOS
AOS Week 24,-0.03393043703249676,-0.008022834047339389,0.007189100112630964,-0.043718785205455246,-0.008956886375622641,AOS
AOS Week 26,0.000537419911517123,-0.011996386521939906,-0.006886572417789449,-0.0021897615612302967,0.024689072176053095,AOS
AOS Week 27,0.024272722469772523,0.009932038698140078,0.02846793567877981,-0.044287860470009655,-0.004914912901430424,AOS
AOS Week 28,-0.009701874235033436,-0.01157815671977891,-0.024508930784179817,0.04655459833803799,-0.021006220818240107,AOS
AOS Week 29,0.03696356420666613,0.006433711656769203,0.018486518228723048,0.0008481634675734373,-0.0013559632382150744,AOS
AOS Week 31,-0.021179076069114622,-0.023574989137383207,0.016702469011814935,-0.0030904135999294535,-0.011257993654743781,AOS
AOS Week 32,0.014851510701988646,-0.019512207527470737,0.02321727269638929,0.011669325722899027,0.023229746963703723,AOS
AOS Week 33,0.0032879740516964517,0.0039013731719159672,-0.0018654242680916644,-0.0015573660729933936,-0.02308531474257014,AOS
AOS Week 34,-0.021395499436931642,-0.00881058749324537,0.003456775053047867,0.0026246694523468506,-0.04401175840508209,AOS
AOS Week 35,-0.012493574164360588,-0.00450610282136199,-0.01723533926599352,-0.0005314897004189412,-0.0026585912096714903,AOS
AOS Week 36,-0.006753173361007225,0.023617815516897345,-0.006292616957046415,-0.00985044104880084,-0.0021318661330653743,AOS
AOS Week 37,-0.03542812762400516,-0.03525285781937604,0.012435387516532836,-0.022675680078658278,0.016821324658757186,AOS
AOS Week 38,-0.026050559572347698,-0.003123776720009852,-0.010575810830467658,-0.013657929937784696,-0.00842869693375825,AOS
AOS Week 40,0.042198418274864924,0.034169454982014846,-0.01642476318423769,-0.013980606227245174,-0.025206750887491802,AOS
AOS Week 41,0.0016161986071654422,-0.005445753283424781,-0.003650381264707847,-0.005495633052996163,0.0036840012879091333,AOS
AOS Week 42,0.0524061918198393,0.0029063691030368766,-0.01912669814283341,-0.03959035095740482,0.028096857952044196,AOS
AOS Week 43,0.013365213538195198,0.025590536546940434,-0.0028790348478828776,-0.0009624492074351565,0.04778419016037461,AOS
